,CMPD_CHEMBLID,exp,smiles,mol,molwt
0,CHEMBL596271,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7765E0>,340.85800000000006
1,CHEMBL1951080,-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7771B0>,494.59100000000024
2,CHEMBL1771,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,<rdkit.Chem.rdchem.Mol object at 0x00000247EA776DC0>,321.82900000000006
3,CHEMBL234951,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA776650>,419.89000000000016
4,CHEMBL565079,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777450>,381.48000000000013
5,CHEMBL317462,3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7773E0>,303.40500000000003
6,CHEMBL1951182,-0.72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777370>,505.5930000000003
7,CHEMBL2030960,0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7766C0>,502.3980000000002
8,CHEMBL13097,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7770D0>,312.3210000000001
9,CHEMBL1527751,2.25,Oc1ncnc2scc(c3ccsc3)c12,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777140>,234.305
10,CHEMBL1940306,1.51,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7778B0>,397.49600000000027
11,CHEMBL578201,2.61,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777840>,352.37700000000007
12,CHEMBL276218,-0.08,O=C1CCCCCN1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777220>,113.16000000000001
13,CHEMBL2153181,1.95,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777610>,327.453
14,CHEMBL1916276,1.34,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7775A0>,452.5800000000002
15,CHEMBL93884,3.2,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7777D0>,242.30300000000003
16,CHEMBL2171986,1.6,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777530>,384.48000000000013
17,CHEMBL190044,3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777060>,387.47600000000006
18,CHEMBL469790,3.15,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777680>,454.9390000000002
19,CHEMBL2165055,0.32,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA776FF0>,488.54800000000034
20,CHEMBL322479,2.92,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777290>,442.6250000000002
21,CHEMBL2036736,1.92,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777300>,427.84800000000024
22,CHEMBL2179291,3.17,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7774C0>,421.4970000000001
23,CHEMBL2158823,2.17,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA7776F0>,463.4050000000002
24,CHEMBL641,1.2,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777760>,255.361
25,CHEMBL1289785,3.93,Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777920>,378.303
26,CHEMBL1381135,1.9,COc1cnc(nc1N(C)C)c2ccccn2,<rdkit.Chem.rdchem.Mol object at 0x00000247EA777990>,230.27100000000002
